fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_003,173327,2024-10-10 18:15:00,2024-10-10 18:55:00,1,-1.886121,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20240.12,20269.33,20218.88,20269.33,28.01,9,target,55.12,9.63,1.2
rw_003,173340,2024-10-10 19:20:00,2024-10-10 19:25:00,1,-1.79502,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20316.87,20293.44,20293.44,20349.08,-24.63,2,stop,3.12,39.63,1.2
rw_003,173349,2024-10-10 20:05:00,2024-10-10 20:05:00,1,-1.830668,long|phase_early_confirmation|compression_low|trigger_soft|fresh_stale|mid_decay|late_session,20264.49,20242.14,20242.14,20295.22,-23.55,1,stop,1.75,42.75,1.2
rw_003,173459,2024-10-11 06:15:00,2024-10-11 06:15:00,1,-1.97066,long|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|early_session,20287.46,20282.22,20282.22,20294.67,-6.64,1,stop,0.87,5.75,1.4
rw_003,173486,2024-10-11 08:30:00,2024-10-11 08:45:00,-1,-1.975244,short|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|europe_morning,20243.21,20247.58,20247.58,20237.2,-5.77,4,stop,5.38,5.12,1.4
rw_003,173504,2024-10-11 10:00:00,2024-10-11 10:00:00,-1,-1.975522,short|phase_trigger|compression_high|trigger_firm|fresh_new|low_decay|europe_morning,20235.33,20228.34,20240.41,20228.34,5.59,1,target,11.12,3.75,1.4
rw_003,173532,2024-10-11 12:20:00,2024-10-11 12:30:00,-1,-1.964168,short|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|low_decay|europe_morning,20186.96,20195.83,20195.83,20174.76,-10.27,3,stop,1.13,10.5,1.4
rw_003,173582,2024-10-11 16:30:00,2024-10-11 16:30:00,-1,-1.95655,short|phase_trigger|compression_mid|trigger_strong|fresh_new|low_decay|us_overlap,20161.21,20149.04,20170.06,20149.04,10.97,1,target,21.88,7.22,1.2
rw_003,173590,2024-10-11 17:10:00,2024-10-11 17:10:00,1,-1.955219,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20234.81,20250.45,20223.44,20250.45,14.44,1,target,27.37,4.25,1.2
rw_003,173596,2024-10-11 17:40:00,2024-10-11 17:40:00,1,-1.919241,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20291.81,20277.96,20277.96,20310.85,-15.05,1,stop,5.62,31.13,1.2
rw_003,173603,2024-10-11 18:15:00,2024-10-11 18:15:00,1,-1.896295,long|phase_early_confirmation|compression_low|trigger_soft|fresh_stale|mid_decay|late_session,20259.68,20243.46,20243.46,20281.98,-17.42,1,stop,4.5,28.12,1.2
rw_003,173766,2024-10-14 08:55:00,2024-10-14 09:00:00,1,-1.964524,long|phase_early_confirmation|compression_high|trigger_soft|fresh_fresh|low_decay|europe_morning,20260.26,20266.97,20255.38,20266.97,5.31,2,target,8.62,1.88,1.4
rw_003,173773,2024-10-14 09:30:00,2024-10-14 09:30:00,1,-1.960278,long|phase_early_confirmation|compression_high|trigger_soft|fresh_fresh|low_decay|europe_morning,20263.38,20258.86,20258.86,20269.59,-5.92,1,stop,1.75,4.75,1.4
rw_003,173809,2024-10-14 12:30:00,2024-10-14 13:00:00,1,-1.953293,long|phase_early_confirmation|compression_high|trigger_soft|fresh_new|low_decay|europe_morning,20312.51,20321.17,20306.21,20321.17,7.26,7,target,17.25,3.5,1.4
rw_003,173848,2024-10-14 15:45:00,2024-10-14 15:45:00,1,-1.952971,long|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|us_overlap,20352.63,20360.65,20346.8,20360.65,6.62,1,target,9.75,2.37,1.4
rw_003,173856,2024-10-14 16:25:00,2024-10-14 16:25:00,1,-1.942248,long|phase_early_confirmation|compression_high|trigger_soft|fresh_new|low_decay|us_overlap,20389.13,20383.12,20383.12,20397.4,-7.41,1,stop,0.0,10.37,1.4
rw_003,173900,2024-10-14 20:05:00,2024-10-14 20:05:00,1,-1.847652,long|phase_trigger|compression_low|trigger_strong|fresh_new|mid_decay|late_session,20450.23,20433.36,20433.36,20473.43,-18.07,1,stop,3.5,16.87,1.2
rw_003,173907,2024-10-14 20:40:00,2024-10-14 21:00:00,1,-1.854145,long|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|high_decay|late_session,20444.86,20427.84,20427.84,20468.26,-18.22,5,stop,0.37,18.5,1.2
